"","objectid","ctyua19cd","ctyua19nm","Region","cum_covid","crowded_hou","elderly","ethnic","Residents"
"117",120,"E09000028","Southwark","London",15849,0.0709421866436366,0.0100040585119483,0.457654457598957,288283
"118",121,"E09000029","Sutton","London",11012,0.0232046460459999,0.0210364667150505,0.214030271475603,190146
"119",122,"E09000030","Tower Hamlets","London",20122,0.104447099953583,0.00704458157546754,0.548127479377873,254096
"120",123,"E09000031","Waltham Forest","London",17507,0.0827474422110034,0.0136457449980445,0.478027020433767,258249
"121",124,"E09000032","Wandsworth","London",14489,0.0381476401033006,0.012029511881301,0.285929738269353,306995
"122",125,"E09000033","Westminster","London",8639,0.0536531407177703,0.0141297015442396,0.383170158070339,219396
"123",126,"E10000002","Buckinghamshire","South East",19632,0.0162559097679933,0.0221895452647328,0.135791229865244,505283
"124",127,"E10000003","Cambridgeshire","East of England",15413,0.0125138810942482,0.0223322225978333,0.0744080101736933,621210
"125",128,"E10000006","Cumbria","North West",14485,0.00648075589302925,0.0265635440465092,0.0152063185944808,499858
"126",129,"E10000007","Derbyshire","East Midlands",19584,0.00758785102078241,0.0242007779795917,0.0254545360055919,769686
"127",130,"E10000008","Devon","South West",9553,0.00880537062520921,0.0345123720690944,0.0245525516513286,746399
"128",131,"E10000011","East Sussex","South East",22596,0.0115995774131649,0.0377199428105971,0.040345870571951,526671
"129",132,"E10000012","Essex","East of England",81705,0.0113912058171664,0.0252470782233187,0.0572127897289513,1393587
"130",133,"E10000013","Gloucestershire","South West",11860,0.0100386858590421,0.0270844779759592,0.0457918470176755,596984
"131",134,"E10000014","Hampshire","South East",37577,0.0110865761645031,0.0259798996500196,0.049829714643023,1317788
"132",135,"E10000015","Hertfordshire","East of England",50484,0.0154070914046851,0.022469181819648,0.124157080879019,1116062
"133",136,"E10000016","Kent","South East",74765,0.0152599407566896,0.0251690874062333,0.0632885621763428,1463740
"134",137,"E10000017","Lancashire","North West",36382,0.0107656876197615,0.023433865004068,0.0773917712976346,1171339
"135",138,"E10000018","Leicestershire","East Midlands",16353,0.00794962495419431,0.0233824092336688,0.0856617098828727,650489
"136",139,"E10000019","Lincolnshire","East Midlands",16554,0.00903342661033127,0.0263587485794917,0.0240579104971183,713653
"137",140,"E10000020","Norfolk","East of England",25040,0.00982571186691213,0.0300901749412511,0.0348180648289753,857888
"138",141,"E10000021","Northamptonshire","East Midlands",24791,0.0128836061585514,0.0201921520567901,0.0854539043170625,691952
"139",142,"E10000023","North Yorkshire","Yorkshire and The Humber",12267,0.00746704911260591,0.0280576092624036,0.0265735925237643,598376
"140",143,"E10000024","Nottinghamshire","East Midlands",21360,0.00824700944951137,0.0231012392434735,0.0445392096227803,785802
"141",144,"E10000025","Oxfordshire","South East",19093,0.0143091692260146,0.0224580069073322,0.0914563825524091,653798
"142",145,"E10000027","Somerset","South West",11422,0.00969650511698805,0.0313393915150234,0.0202218230397078,529972
"143",146,"E10000028","Staffordshire","West Midlands",24939,0.00888918913593591,0.0221417130923324,0.0434584302212521,848489
"144",147,"E10000029","Suffolk","East of England",18594,0.00966065423417915,0.0284661538693946,0.0480222148063002,728163
"145",148,"E10000030","Surrey","South East",44672,0.0134732805167281,0.026530612244898,0.0959987283533058,1132390
"146",149,"E10000031","Warwickshire","West Midlands",13796,0.00875738620376182,0.0241203063757393,0.0729383985304524,545474
"147",150,"E10000032","West Sussex","South East",27054,0.012835128206612,0.0329300575541708,0.0624532155480535,806892
"148",151,"E10000034","Worcestershire","West Midlands",16447,0.00905651247095533,0.0262907365115363,0.0425862242545954,566169
"149",104,"E09000012","Hackney and City of London","London",14784,0.0766061748762668,0.00813735733012675,0.446407380393858,253645
